Team_1,Team_2,Map1_Team1_Score,Map1_Team2_Score,Map2_Team1_Score,Map2_Team2_Score,Map3_Team1_Score,Map3_Team2_Score,winner
FURIA,Chaos,16,8,10,16,3,16,Chaos
100 Thieves,Triumph,16,8,16,14,0,0,100 Thieves
Gen.G,Cloud9,22,20,16,5,0,0,Gen.G
SAW,x6tence,16,14,16,11,0,0,SAW
North,AVEZ,16,14,16,11,0,0,North
Evil Geniuses,Liquid,16,9,16,12,0,0,Evil Geniuses
Tricked,c0ntact,5,16,10,16,0,0,c0ntact
Heretics,Sprout,12,16,5,16,0,0,Sprout
x6tence,SJ,16,10,17,19,16,13,x6tence
mousesports,Endpoint,20,22,8,16,0,0,Endpoint
Complexity,SAW,19,17,9,16,3,16,SAW
c0ntact,AVEZ,16,6,15,19,11,16,AVEZ
Movistar Riders,AGF,16,11,22,20,0,0,Movistar Riders
FATE,Sprout,13,16,15,19,0,0,Sprout
North,Tricked,16,12,16,12,0,0,North
Heretics,SKADE,16,13,16,6,0,0,Heretics
Newhappy,TIGER,3,16,8,16,0,0,TIGER
ViCi,Invictus,16,0,16,14,0,0,ViCi
Bren,JiJieHao,11,16,16,5,16,14,Bren
ORDER,AVANT,16,2,16,10,0,0,ORDER
Imperial,BOOM,5,16,9,16,0,0,BOOM
Isurus,Sharks,16,13,14,16,3,16,Sharks
Sprout,Nemiga,20,22,16,11,16,5,Sprout
Keyd,RED Canids,6,16,16,11,6,16,RED Canids
TYLOO,Beyond,14,16,16,14,16,8,TYLOO
Renegades,Chiefs,16,14,16,2,0,0,Renegades
Beyond,Mazaalai,16,8,16,9,0,0,Beyond
BOOM,Isurus,18,22,16,11,16,4,BOOM
RED Canids,Imperial,16,10,16,10,0,0,RED Canids
Sharks,Keyd,11,16,16,9,16,13,Sharks
Evil Geniuses,Triumph,16,9,12,16,16,10,Evil Geniuses
Cloud9,Chaos,3,16,5,16,0,0,Chaos
Lemondogs,Lilmix,7,16,0,16,0,0,Lilmix
Liquid,Gen.G,16,10,19,17,0,0,Liquid
FURIA,100 Thieves,12,16,8,16,0,0,100 Thieves
Lilmix,Deportivo,19,16,16,7,0,0,Lilmix
Copenhagen Flames,Lemondogs,14,16,5,16,0,0,Lemondogs
TYLOO,ViCi,12,16,16,14,16,14,TYLOO
Invictus,ZIGMA,16,14,16,10,0,0,Invictus
Beyond,HZ,16,12,16,10,0,0,Beyond
Liquid,Triumph,11,16,16,13,16,12,Liquid
Cloud9,100 Thieves,16,14,8,16,9,16,100 Thieves
FURIA,Gen.G,16,10,16,7,0,0,FURIA
Evil Geniuses,Chaos,16,14,16,4,0,0,Evil Geniuses
Complexity,FaZe,16,10,8,16,12,16,FaZe
Vitality,mousesports,14,16,8,16,0,0,mousesports
fnatic,NIP,16,14,16,11,0,0,fnatic
Astralis,Spirit,16,7,16,10,0,0,Astralis
BIG,ENCE,16,14,10,16,16,12,BIG
GODSENT,AGO,14,16,16,5,16,9,GODSENT
MBAPPEEK,Endpoint,16,9,17,19,12,16,Endpoint
Heroic,OG,16,12,16,9,0,0,Heroic
ZEROZONE,Sprout,16,13,6,16,13,16,Sprout
G2,Natus Vincere,6,16,8,16,0,0,Natus Vincere
SKADE,selectah,25,23,16,12,0,0,SKADE
SJ,GameAgents,16,8,16,10,0,0,SJ
ViCi,Invictus,16,10,19,15,0,0,ViCi
los kogutos,AGF,10,16,14,16,0,0,AGF
HERCEGNOVI,Tricked,16,3,16,14,0,0,HERCEGNOVI
AVEZ,Lyngby Vikings,16,14,16,7,0,0,AVEZ
SAW,Alltech,16,4,16,8,0,0,SAW
TYLOO,Beyond,19,17,12,16,16,2,TYLOO
Checkmate,Bren,2,16,15,19,0,0,Bren
Liquid,Cloud9,11,16,16,7,19,17,Liquid
fnatic,Astralis,6,16,16,9,8,16,Astralis
FaZe,NIP,16,10,19,15,0,0,FaZe
Beyond,Invictus,16,7,12,16,13,16,Invictus
Spirit,mousesports,16,13,16,14,0,0,Spirit
TIGER,Checkmate,16,14,13,16,12,16,Checkmate
ZIGMA,After,17,19,16,9,16,19,After
Alma,FURIA Academy,8,16,14,16,0,0,FURIA Academy
Vitality,Complexity,10,16,11,16,0,0,Complexity
Gen.G,100 Thieves,16,14,16,6,0,0,Gen.G
Natus Vincere,Heroic,16,6,16,19,16,14,Natus Vincere
G2,AGO,14,16,16,4,17,19,AGO
TIGER,Bren,12,16,16,9,16,9,TIGER
Gambit Youngsters,GODSENT,22,20,17,19,16,12,Gambit Youngsters
HZ,Checkmate,17,19,16,14,11,16,Checkmate
TYLOO,After,16,13,16,11,0,0,TYLOO
FURIA Academy,Santos,16,14,16,13,0,0,FURIA Academy
Alma,INTZ,10,16,16,14,16,14,Alma
BIG,GODSENT,15,19,22,19,16,7,BIG
FURIA,Evil Geniuses,16,8,16,14,0,0,FURIA
OG,ENCE,11,16,16,10,16,4,OG
Complexity,mousesports,20,22,9,16,0,0,mousesports
HZ,ZIGMA,13,16,16,14,13,16,ZIGMA
K23,GODSENT,2,16,12,16,0,0,GODSENT
TIGER,After,16,11,16,12,0,0,TIGER
Virtus.pro,Gambit Youngsters,16,10,14,16,13,16,Gambit Youngsters
ViCi,Bren,16,13,16,14,0,0,ViCi
Chaos,Triumph,3,16,16,6,16,7,Chaos
Astralis,NIP,16,6,16,7,0,0,Astralis
Vitality,fnatic,16,13,16,8,0,0,Vitality
FaZe,Spirit,16,12,8,16,10,16,Spirit
GODSENT,Espada,16,6,10,16,16,10,GODSENT
K23,Wisla Krakow,7,16,16,13,16,4,K23
Gambit Youngsters,Sprout,22,20,14,16,16,8,Gambit Youngsters
TIGER,TSG,10,16,13,16,0,0,TSG
Virtus.pro,Secret,16,4,16,9,0,0,Virtus.pro
Newhappy,Lynn Vision,2,16,5,16,0,0,Lynn Vision
Coscu Army,River Plate,11,16,22,19,7,16,River Plate
Divine Vendetta,HZ,14,16,19,16,9,16,HZ
Wisla Krakow,AVEZ,16,12,16,7,0,0,Wisla Krakow
Winstrike,Espada,11,16,4,16,0,0,Espada
Sprout,forZe,16,13,16,14,0,0,Sprout
Secret,HellRaisers,16,2,16,9,0,0,Secret
Beyond,Wings Up,16,19,16,12,6,16,Wings Up
Sharks,Prodigy,16,9,16,7,0,0,Sharks
Triumph,ex-Recon 5,19,17,16,7,0,0,Triumph
Keyd,Santos,16,9,16,4,0,0,Keyd
ex-Recon 5,Cohesive Concepts,17,19,16,13,16,10,ex-Recon 5
Cloud9,Triumph,10,16,16,6,14,16,Triumph
FURIA,Liquid,16,8,16,8,0,0,FURIA
ENCE,AGO,2,16,16,6,16,4,ENCE
MBAPPEEK,CR4ZY,16,14,11,16,16,7,MBAPPEEK
Natus Vincere,OG,16,10,8,16,16,14,Natus Vincere
Sangal,9INE,19,16,16,5,0,0,Sangal
CR4ZY,cismix,13,16,16,8,16,14,CR4ZY
BLUEJAYS,MBAPPEEK,13,16,8,16,0,0,MBAPPEEK
Heroic,GODSENT,16,14,7,16,16,14,Heroic
Bren,Lynn Vision,16,5,16,4,0,0,Bren
After,D13,16,12,16,7,0,0,After
BTRG,Lynn Vision,22,19,13,16,13,16,Lynn Vision
Az,After,9,16,6,16,0,0,After
Bren,Divine Vendetta,16,8,16,6,0,0,Bren
Mazaalai,D13,9,16,13,16,0,0,D13
BIG,G2,14,16,16,11,16,4,BIG
Evil Geniuses,Gen.G,16,14,16,13,0,0,Evil Geniuses
9INE,LOG,16,5,12,16,16,12,9INE
Vitality,FaZe,16,11,16,10,0,0,Vitality
OG,GODSENT,3,16,16,4,16,6,OG
Astralis,mousesports,12,16,16,14,16,9,Astralis
Cloud9,Triumph,16,3,16,2,0,0,Cloud9
Gambit Youngsters,GODSENT,16,19,11,16,0,0,GODSENT
Complexity,fnatic,16,4,18,22,16,13,Complexity
Sangal,Istanbul Wildcats,16,6,16,3,0,0,Sangal
NIP,Spirit,8,16,16,9,11,16,Spirit
SG.pro,forZe,11,16,8,16,0,0,forZe
Checkmate,Mazaalai,19,17,16,9,0,0,Checkmate
Espada,SKADE,13,16,16,6,16,11,Espada
ZIGMA,Mazaalai,16,12,16,13,0,0,ZIGMA
Checkmate,HZ,16,14,13,16,6,16,HZ
Nordavind,AVEZ,7,16,13,16,0,0,AVEZ
Mazaalai,Divine Vendetta,9,16,16,8,16,12,Mazaalai
ZIGMA,5ks,16,9,16,10,0,0,ZIGMA
HZ,D13,16,10,16,14,0,0,HZ
Paper Rex,Checkmate,9,16,11,16,0,0,Checkmate
G2,ENCE,16,19,10,16,0,0,ENCE
100 Thieves,Chaos,16,3,16,5,0,0,100 Thieves
Nemiga,Winstrike,8,16,4,16,0,0,Winstrike
BIG,Heroic,16,14,7,16,14,16,Heroic
Nexus,Secret,16,9,4,16,8,16,Secret
AGF,GODSENT,8,16,7,16,0,0,GODSENT
AVEZ,Wisla Krakow,16,13,7,16,10,16,Wisla Krakow
Secret,forZe,16,9,16,8,0,0,Secret
Gambit Youngsters,MIBR,16,8,6,16,16,11,Gambit Youngsters
Natus Vincere,AGO,16,9,16,13,0,0,Natus Vincere
HellRaisers,SKADE,4,16,16,10,25,23,HellRaisers
Espada,Imperial,16,7,16,13,0,0,Espada
AGF,Nordavind,16,19,16,10,12,16,Nordavind
SG.pro,lvlUP,16,8,16,10,0,0,SG.pro
Vitality,Astralis,10,16,16,9,11,16,Astralis
AVEZ,Winstrike,12,16,16,3,17,19,Winstrike
FATE,HellRaisers,17,19,16,11,9,16,HellRaisers
FURIA,Triumph,16,13,16,2,0,0,FURIA
NIP,mousesports,13,16,16,4,19,17,NIP
Imperial,Dignitas,19,16,16,14,0,0,Imperial
Copenhagen Flames,Heretics,11,16,16,13,7,16,Heretics
GODSENT,HAVU,16,12,14,16,16,14,GODSENT
forZe,AGF,14,16,16,8,16,11,forZe
lvlUP,HellRaisers,16,14,9,16,6,16,HellRaisers
Complexity,Spirit,16,7,14,16,16,10,Complexity
North,AGF,5,16,16,14,6,16,AGF
Secret,Nordavind,12,16,16,4,16,11,Secret
Sprout,Wisla Krakow,16,11,16,6,0,0,Sprout
SKADE,SG.pro,16,9,7,16,19,17,SKADE
SJ,Espada,10,16,15,19,0,0,Espada
FaZe,fnatic,11,16,4,16,0,0,fnatic
Dignitas,AGF,23,25,10,16,0,0,AGF
Gen.G,Chaos,10,16,6,16,0,0,Chaos
MIBR,Apeks,23,25,16,8,16,8,MIBR
G2,Heroic,7,16,16,14,7,16,Heroic
Winstrike,Nordavind,16,11,16,3,0,0,Winstrike
Virtus.pro,Gambit Youngsters,14,16,10,16,0,0,Gambit Youngsters
ENCE,GODSENT,16,12,4,16,13,16,GODSENT
HellRaisers,Wisla Krakow,6,16,19,22,0,0,Wisla Krakow
lvlUP,Sprout,7,16,7,16,0,0,Sprout
Heretics,Winstrike,16,11,16,10,0,0,Heretics
PACT,HAVU,11,16,11,16,0,0,HAVU
forZe,Imperial,16,4,16,14,0,0,forZe
Secret,AVEZ,10,16,13,16,0,0,AVEZ
D13,JiJieHao,16,12,16,7,0,0,D13
SJ,SKADE,16,9,17,19,11,16,SKADE
Invictus,Bren,8,16,16,7,19,16,Invictus
Espada,SG.pro,9,16,14,16,0,0,SG.pro
Imperial,Wisla Krakow,5,16,7,16,0,0,Wisla Krakow
Nemiga,Copenhagen Flames,16,5,16,14,0,0,Nemiga
Nordavind,AGF,10,16,8,16,0,0,AGF
forZe,HellRaisers,19,16,3,16,11,16,HellRaisers
Copenhagen Flames,MIBR,17,19,16,11,16,13,Copenhagen Flames
ALTERNATE aTTaX,Apeks,16,14,12,16,14,16,Apeks
Dignitas,lvlUP,22,19,12,16,13,16,lvlUP
Singularity,MIBR,16,9,16,19,3,16,MIBR
Sprout,AGF,16,10,22,19,0,0,Sprout
Gambit Youngsters,Hard Legion,13,16,16,12,19,16,Gambit Youngsters
Espada,Secret,16,19,16,14,19,22,Secret
AVEZ,SG.pro,16,12,16,5,0,0,AVEZ
Mazaalai,Let's Quit,6,16,16,6,13,16,Let's Quit
Nordavind,SKADE,12,16,16,14,19,15,Nordavind
Winstrike,SJ,8,16,16,4,16,0,Winstrike
ViCi,BTRG,16,11,16,10,0,0,ViCi
Swole Patrol,Yeah,14,16,16,7,16,10,Swole Patrol
Yeah,Mythic,14,16,16,5,16,6,Yeah
Swole Patrol,New England Whalers,9,16,16,4,16,8,Swole Patrol
Liquid,100 Thieves,3,16,16,8,16,14,Liquid
Nemiga,Copenhagen Flames,16,12,16,12,0,0,Nemiga
OG,AGO,16,6,16,6,0,0,OG
North,forZe,14,16,11,16,0,0,forZe
MIBR,Copenhagen Flames,16,9,14,16,13,16,Copenhagen Flames
BIG,Natus Vincere,11,16,17,19,0,0,Natus Vincere
forZe,Sprout,9,16,16,11,16,12,forZe
Vitality,Spirit,16,11,16,19,14,16,Spirit
Singularity,Nemiga,14,16,7,16,0,0,Nemiga
x6tence,North,16,19,16,13,11,16,North
Renegades,ORDER,16,10,14,16,16,11,Renegades
Chiefs,ORDER,16,13,7,16,9,16,ORDER
Cleanstore,Shock Bomb,5,16,10,16,0,0,Shock Bomb
HellRaisers,Nexus,16,13,13,16,14,16,Nexus
Movistar Riders,x6tence,10,16,10,16,0,0,x6tence
FaZe,Astralis,7,16,5,16,0,0,Astralis
Evil Geniuses,Cloud9,16,13,16,4,0,0,Evil Geniuses
Nexus,CR4ZY,16,9,7,16,16,14,Nexus
Endpoint,Sprout,7,16,4,16,0,0,Sprout
Complexity,NIP,16,7,16,13,0,0,Complexity
Apeks,CR4ZY,19,17,8,16,3,16,CR4ZY
FATE,forZe,8,16,7,16,0,0,forZe
fnatic,mousesports,8,16,16,13,14,16,mousesports
Galaxy Racer,North,6,16,5,16,0,0,North
ORDER,Downfall,16,11,14,16,16,9,ORDER
Gambit Youngsters,x6tence,7,16,16,12,11,16,x6tence
Chiefs,Renegades,14,16,4,16,0,0,Renegades
Mako,Downfall,13,16,12,16,0,0,Downfall
Heroic,AGO,12,16,19,17,17,19,AGO
Nexus,HellRaisers,16,13,6,16,10,16,HellRaisers
Sprout,Wisla Krakow,16,11,16,14,0,0,Sprout
Evil Geniuses,100 Thieves,16,5,16,9,0,0,Evil Geniuses
Wisla Krakow,SAW,7,16,16,14,16,5,Wisla Krakow
CR4ZY,HellRaisers,5,16,17,19,0,0,HellRaisers
BIG,OG,16,11,16,14,0,0,BIG
Apeks,Nexus,17,19,4,16,0,0,Nexus
Sprout,North,11,16,16,19,0,0,North
Rooster,ORDER,17,19,13,16,0,0,ORDER
Natus Vincere,ENCE,9,16,12,16,0,0,ENCE
Renegades,Downfall,16,7,16,8,0,0,Renegades
Chiefs,ORDER,13,16,16,10,16,10,Chiefs
MAD Lions,x6tence,16,12,9,16,14,16,x6tence
G2,GODSENT,16,13,16,12,0,0,G2
Gen.G,Triumph,16,14,16,10,0,0,Gen.G
Secret,FATE,14,16,10,16,0,0,FATE
x6tence,Heretics,16,12,16,14,0,0,x6tence
forZe,MAD Lions,16,6,16,9,0,0,forZe
Complexity,Astralis,19,17,19,17,0,0,Complexity
FATE,eSuba,16,14,16,12,0,0,FATE
Lilmix,SKADE,7,16,7,16,0,0,SKADE
HONORIS,eSuba,16,19,11,16,0,0,eSuba
fnatic,Spirit,10,16,16,11,16,7,fnatic
Mako,Paradox,16,12,19,15,0,0,Mako
SKADE,Wisla Krakow,16,5,7,16,14,16,Wisla Krakow
Rooster,Ground Zero,16,11,16,8,0,0,Rooster
KOVA,Lilmix,10,16,4,16,0,0,Lilmix
Wisla Krakow,Lilmix,16,11,22,19,0,0,Wisla Krakow
Ground Zero,Downfall,16,9,13,16,3,16,Downfall
KOVA,SKADE,11,16,9,16,0,0,SKADE
Secret,FATE,16,14,16,19,16,11,Secret
Galaxy Racer,PACT,16,9,16,9,0,0,Galaxy Racer
FURIA,Cloud9,19,15,14,16,16,14,FURIA
FaZe,mousesports,13,16,12,16,0,0,mousesports
PACT,Endpoint,16,7,11,16,6,16,Endpoint
MIBR,Galaxy Racer,14,16,8,16,0,0,Galaxy Racer
FATE,eSuba,16,14,19,16,0,0,FATE
Vitality,NIP,7,16,16,5,16,12,Vitality
Secret,HONORIS,28,24,16,14,0,0,Secret
Copenhagen Flames,AGF,16,7,14,16,9,16,AGF
Heroic,ENCE,16,9,5,16,13,16,ENCE
BTRG,D13,16,6,11,16,16,14,BTRG
Apeks,AGF,12,16,16,4,6,16,AGF
Copenhagen Flames,SJ,9,16,14,16,0,0,SJ
Renegades,Rooster,16,11,16,8,0,0,Renegades
AGF,SJ,7,16,16,8,6,16,SJ
Apeks,Copenhagen Flames,11,16,14,16,0,0,Copenhagen Flames
D13,Lynn Vision,22,19,16,14,0,0,D13
ORDER,Paradox,16,8,16,6,0,0,ORDER
Chiefs,Mako,16,8,16,3,0,0,Chiefs
Apeks,FATE,17,19,22,18,16,14,Apeks
Winstrike,BIG Academy,16,11,16,10,0,0,Winstrike
Liquid,Chaos,10,16,16,10,16,10,Liquid
BIG,AGO,16,14,16,7,0,0,BIG
Queso,BIG Academy,16,10,12,16,20,22,BIG Academy
FATE,HellRaisers,19,16,16,11,0,0,FATE
Apeks,Gambit Youngsters,14,16,11,16,0,0,Gambit Youngsters
G2,OG,12,16,16,13,16,14,G2
Heretics,Winstrike,16,13,14,16,16,13,Heretics
9INE,lvlUP,9,16,6,16,0,0,lvlUP
Natus Vincere,GODSENT,16,13,16,2,0,0,Natus Vincere
lvlUP,Tenerife Titans,9,16,16,14,16,13,lvlUP
9INE,Secret,14,16,10,16,0,0,Secret
BTRG,D13,16,12,5,16,16,7,BTRG
Secret,Tenerife Titans,19,17,5,16,19,17,Secret
lvlUP,9INE,9,16,16,7,13,16,9INE
Lynn Vision,TYLOO,8,16,16,4,16,8,Lynn Vision
Winstrike,BIG Academy,15,19,25,21,16,9,Winstrike
Heretics,Queso,16,14,16,7,0,0,Heretics
Nexus,SG.pro,16,14,13,16,4,16,SG.pro
SG.pro,FATE,22,20,16,12,0,0,SG.pro
HellRaisers,Nexus,16,11,16,7,0,0,HellRaisers
FATE,Nexus,19,15,9,16,14,16,Nexus
HellRaisers,SG.pro,12,16,16,8,16,5,HellRaisers
ex-Asterius,SWS,14,16,16,6,14,16,SWS
MAD Lions,forZe,14,16,17,19,0,0,forZe
forZe,Dignitas,12,16,16,9,16,4,forZe
MAD Lions,Espada,16,3,16,9,0,0,MAD Lions
ex-Incept,Downfall,4,16,8,16,0,0,Downfall
Mako,Rooster 2,16,8,22,20,0,0,Mako
BOOM,Havan Liberty,16,10,12,16,16,4,BOOM
Winstrike,Dignitas,11,16,16,13,14,16,Dignitas
Paquet�,Prodigy,11,16,16,6,3,16,Prodigy
Vitality,NIP,16,7,16,13,0,0,Vitality
Apeks,forZe,7,16,16,7,10,16,forZe
Heroic,G2,25,23,16,19,16,7,Heroic
AGF,Espada,14,16,10,16,0,0,Espada
ViCi,Invictus,16,4,10,16,16,13,ViCi
MAD Lions,MIBR,16,1,16,6,0,0,MAD Lions
ORDER,AVANT,11,16,16,13,18,22,AVANT
Evil Geniuses,FURIA,16,10,16,10,0,0,Evil Geniuses
Chaos,Liquid,13,16,8,16,0,0,Liquid
Dignitas,AVEZ,19,16,9,16,16,10,Dignitas
Astralis,NIP,10,16,13,16,0,0,NIP
c0ntact,AVEZ,11,16,4,16,0,0,AVEZ
Espada,Dignitas,16,8,20,22,16,10,Espada
G2,OG,16,6,10,16,19,17,G2
Beyond,Invictus,13,16,16,14,8,16,Invictus
Rooster,Rooster 2,16,4,20,22,16,7,Rooster
VERTEX,Paradox,7,16,16,12,7,16,Paradox
Chiefs,AVANT,11,16,10,16,0,0,AVANT
Renegades,ORDER,16,14,16,10,0,0,Renegades
Imperial,Neverest,16,4,16,10,0,0,Imperial
TheDice,1WIN,9,16,12,16,0,0,1WIN
MIBR,Gambit Youngsters,19,17,25,21,0,0,MIBR
Sprout,Vitality,6,16,8,16,0,0,Vitality
HellRaisers,Gambit Youngsters,12,16,9,16,0,0,Gambit Youngsters
Complexity,Heroic,11,16,13,16,0,0,Heroic
MIBR,forZe,16,19,9,16,0,0,forZe
TYLOO,ViCi,16,14,16,19,16,6,TYLOO
Liquid,Cloud9,19,15,16,11,0,0,Liquid
FATE,AGF,6,16,9,16,0,0,AGF
AGO,AGF,12,16,14,16,0,0,AGF
FaZe,Vitality,16,19,14,16,0,0,Vitality
Winstrike,FATE,9,16,16,3,16,10,Winstrike
MAD Lions,OG,10,16,9,16,0,0,OG
Spirit,Wisla Krakow,16,4,16,10,0,0,Spirit
ViCi,Invictus,17,19,16,9,16,7,ViCi
Wisla Krakow,North,19,17,14,16,16,11,Wisla Krakow
Spirit,Gambit Youngsters,9,16,16,12,19,15,Spirit
ORDER,AVANT,16,6,7,16,16,13,ORDER
Apeks,GamerLegion,16,9,14,16,16,7,Apeks
100 Thieves,FURIA,1,16,16,13,7,16,FURIA
Illuminar,GamerLegion,13,16,16,9,14,16,GamerLegion
fnatic,Heroic,11,16,11,16,0,0,Heroic
Apeks,MAD Lions,8,16,11,16,0,0,MAD Lions
NIP,Natus Vincere,16,9,16,3,0,0,NIP
North,forZe,16,11,12,16,16,14,North
MIBR,Wisla Krakow,16,11,13,16,9,16,Wisla Krakow
TYLOO,Beyond,16,6,16,12,0,0,TYLOO
HellRaisers,Gambit Youngsters,5,16,13,16,0,0,Gambit Youngsters
Spirit,K23,16,8,16,8,0,0,Spirit
Renegades,Chiefs,16,1,16,4,0,0,Renegades
Espada,Spirit,14,16,14,16,0,0,Spirit
K23,Spirit,9,16,5,16,0,0,Spirit
Heretics,Secret,16,12,13,16,10,16,Secret
Espada,Apeks,12,16,16,13,16,9,Espada
forZe,KOVA,16,12,16,8,0,0,forZe
Wisla Krakow,AVEZ,16,12,16,13,0,0,Wisla Krakow
SKADE,K23,16,11,24,28,7,16,K23
TRUCKERS WITH ATTITUDE,Rooster,14,16,17,19,0,0,Rooster
HellRaisers,Galaxy Racer,16,13,16,10,0,0,HellRaisers
Ze Pug Godz,Positive Vibes Only,16,12,16,6,0,0,Ze Pug Godz
Triumph,Cloud9,16,14,4,16,9,16,Cloud9
Spirit,forZe,17,19,16,12,16,4,Spirit
SG.pro,Lyngby Vikings,14,16,17,19,0,0,Lyngby Vikings
Positive Vibes Only,ex-Recon 5,16,4,16,6,0,0,Positive Vibes Only
Ze Pug Godz,Eclipse,16,8,16,12,0,0,Ze Pug Godz
G2,Heroic,7,16,16,7,19,17,G2
Lyngby Vikings,9INE,16,9,8,16,16,14,Lyngby Vikings
HellRaisers,K23,16,12,12,16,11,16,K23
SG.pro,EXTREMUM,16,13,16,7,0,0,SG.pro
Complexity,Natus Vincere,16,9,16,8,0,0,Complexity
Apeks,Gambit Youngsters,16,13,16,10,0,0,Apeks
NAVI Junior,Espada,9,16,13,16,0,0,Espada
PACT,forZe,16,8,15,19,9,16,forZe
FURIA,Gen.G,16,14,16,10,0,0,FURIA
forZe,Gambit Youngsters,16,13,17,19,13,16,Gambit Youngsters
lvlUP,PACT,1,16,9,16,0,0,PACT
Vitality,Astralis,8,16,7,16,0,0,Astralis
Sprout,OG,16,9,13,16,16,3,Sprout
FATE,Espada,16,6,10,16,5,16,Espada
CR4ZY,Espada,8,16,16,13,8,16,Espada
K23,FATE,16,5,16,14,0,0,K23
Renegades,AVANT,16,9,16,4,0,0,Renegades
ORDER,Rooster,16,13,11,16,11,16,Rooster
ImPerium,timbermen,3,16,16,12,13,16,timbermen
Prodigy,Neverest,8,16,19,17,16,19,Neverest
selectah,Apeks,16,8,5,16,12,16,Apeks
Evil Geniuses,Liquid,16,7,16,9,0,0,Evil Geniuses
Apeks,SKADE,6,16,16,12,16,13,Apeks
selectah,Spirit,11,16,17,19,0,0,Spirit
MIBR,FaZe,16,8,12,16,6,16,FaZe
Heretics,9INE,16,11,8,16,16,14,Heretics
FATE,Galaxy Racer,4,16,16,9,12,16,Galaxy Racer
forZe,HAVU,14,16,16,14,12,16,HAVU
MAD Lions,mousesports,16,5,16,4,0,0,MAD Lions
KOVA,Singularity,16,7,16,11,0,0,KOVA
CR4ZY,AVEZ,16,11,5,16,13,16,AVEZ
Hyper,timbermen,16,12,4,16,5,16,timbermen
ImPerium,Thunder Logic,16,9,8,16,16,10,ImPerium
Imperial,Havan Liberty,19,17,16,14,0,0,Imperial
HellRaisers,HONORIS,19,17,14,16,16,6,HellRaisers
Chaos,100 Thieves,16,10,6,16,16,13,Chaos
Lyngby Vikings,HONORIS,6,16,16,12,8,16,HONORIS
Heretics,fnatic,16,8,7,16,9,16,fnatic
NAVI Junior,HellRaisers,16,9,16,11,0,0,NAVI Junior
Unicorns of Love,Secret,12,16,13,16,0,0,Secret
AGO,HAVU,12,16,10,16,0,0,HAVU
BIG,NIP,16,5,26,28,7,16,NIP
forZe,FATE,14,16,16,7,19,16,forZe
KOVA,K23,16,8,11,16,9,16,K23
Sprout,HAVU,16,10,19,22,8,16,HAVU
SKADE,CR4ZY,16,3,16,12,0,0,SKADE
Aftermind,PC419,16,11,16,9,0,0,Aftermind
Ballarat Bulldogs,Caught off Guard,7,16,12,16,0,0,Caught off Guard
Izako Boars,Galaxy Racer,7,16,7,16,0,0,Galaxy Racer
Singularity,SJ,17,19,19,16,19,15,Singularity
Paradox,Rooster,10,16,1,16,0,0,Rooster
Copenhagen Flames,AVEZ,13,16,14,16,0,0,AVEZ
Kinship,Hyper,16,11,19,16,0,0,Kinship
Infinity,timbermen,10,16,9,16,0,0,timbermen
ImPerium,RBG,6,16,5,16,0,0,RBG
Cloud9,Liquid,19,17,8,16,10,16,Liquid
Evil Geniuses,Triumph,16,6,16,5,0,0,Evil Geniuses
Wisla Krakow,K23,16,6,16,12,0,0,Wisla Krakow
Secret,Movistar Riders,22,20,16,9,0,0,Secret
9INE,AVEZ,16,1,5,16,14,16,AVEZ
FaZe,Heroic,10,16,9,16,0,0,Heroic
MIBR,G2,2,16,4,16,0,0,G2
Heretics,Tricked,16,11,16,13,0,0,Heretics
Galaxy Racer,CR4ZY,3,16,14,16,0,0,CR4ZY
Unicorns of Love,Nexus,8,16,11,16,0,0,Nexus
AGO,Sprout,16,10,5,16,22,18,AGO
Natus Vincere,mousesports,10,16,16,9,16,7,Natus Vincere
FATE,SJ,19,15,16,7,0,0,FATE
KOVA,HellRaisers,9,16,16,13,7,16,HellRaisers
Complexity,MAD Lions,16,3,22,20,0,0,Complexity
K23,forZe,12,16,16,8,7,16,forZe
Nordavind,AVEZ,19,16,14,16,10,16,AVEZ
Izako Boars,SKADE,9,16,16,11,7,16,SKADE
Caught off Guard,R!OT,10,16,11,16,0,0,R!OT
off mic plz,Aftermind,16,10,19,16,0,0,off mic plz
Copenhagen Flames,selectah,16,3,9,16,16,10,Copenhagen Flames
Singularity,forZe,7,16,12,16,0,0,forZe
RBG,timbermen,16,13,16,13,0,0,RBG
Thunder Logic,Kinship,14,16,4,16,0,0,Kinship
Infinity,ImPerium,9,16,6,16,0,0,ImPerium
Yeah,TeamOne,16,4,16,14,0,0,Yeah
100 Thieves,Gen.G,16,13,11,16,16,13,100 Thieves
FURIA,Chaos,11,16,19,22,0,0,Chaos
Movistar Riders,AVEZ,5,16,16,12,4,16,AVEZ
HellRaisers,SKADE,16,11,16,14,0,0,HellRaisers
fnatic,Astralis,5,16,17,19,0,0,Astralis
K23,forZe,4,16,16,14,16,13,K23
Tricked,9INE,16,5,7,16,8,16,9INE
Nexus,CeX,12,16,16,3,16,9,Nexus
Vitality,Heretics,16,13,16,8,0,0,Vitality
OG,NIP,19,16,12,16,22,19,OG
Unicorns of Love,Heretics,16,12,16,19,16,9,Unicorns of Love
BIG,Sprout,12,16,16,19,0,0,Sprout
KOVA,Izako Boars,16,8,16,12,0,0,KOVA
Wisla Krakow,Singularity,16,8,16,13,0,0,Wisla Krakow
