Team_1,Team_2,Map1_Team1_Score,Map1_Team2_Score,Map2_Team1_Score,Map2_Team2_Score,Map3_Team1_Score,Map3_Team2_Score,winner
paiN,Mythic,16,11,10,16,16,6,paiN
Havan Liberty,SEVERE,16,12,16,2,0,0,Havan Liberty
Illuminar,PACT,10,16,25,23,23,25,PACT
Mythic,GGPR,22,19,16,9,0,0,Mythic
RBG,paiN,9,16,4,16,0,0,paiN
Virtus.pro,OG,10,16,16,9,16,12,Virtus.pro
webSPELL,TheDice,16,14,14,16,8,16,TheDice
OPAA,Poland,16,6,16,8,0,0,OPAA
Sinners,Poland,14,16,16,19,0,0,Poland
OPAA,Worst Enemy,11,16,16,6,16,10,OPAA
flowskola,SJ,16,13,16,14,0,0,flowskola
UBITEAM,MAESTRO,10,16,8,16,0,0,MAESTRO
fnatic,OG,14,16,5,16,0,0,OG
MAESTRO,TheDice,13,16,16,19,0,0,TheDice
IN.GAME,Invictus Int,16,8,16,11,0,0,IN.GAME
MIBR,OG,10,16,16,4,14,16,OG
TeamOne,Rebirth,16,14,16,8,0,0,TeamOne
PACT,HONORIS,16,11,16,7,0,0,PACT
Chaos,Yeah,19,16,9,16,16,13,Chaos
Virtus.pro,fnatic,10,16,16,14,16,5,Virtus.pro
Lilmix,fightclub,16,14,19,15,0,0,Lilmix
webSPELL,UBITEAM,16,7,16,11,0,0,webSPELL
Apeks,Bifrost,16,12,16,5,0,0,Apeks
Illuminar,Izako Boars,16,11,16,5,0,0,Illuminar
Giants,Movistar Riders,6,16,13,16,0,0,Movistar Riders
LDLC,Lyngby Vikings,13,16,16,12,9,16,Lyngby Vikings
777,Bifrost,16,13,12,16,12,16,Bifrost
flowskola,AURA,16,13,16,7,0,0,flowskola
FURIA,Astralis,7,16,6,16,0,0,Astralis
Movistar Riders,Queso,9,16,16,4,16,4,Movistar Riders
Invictus Int,BEZ ZP,16,13,16,10,0,0,Invictus Int
mousesports,GODSENT,13,16,16,13,16,10,mousesports
Espada,HellRaisers,16,10,25,23,0,0,Espada
Apeks,Oilers,16,8,16,14,0,0,Apeks
Giants,Real Betis,16,14,16,9,0,0,Giants
ex-ETHEREAL,IN.GAME,14,16,16,7,19,16,ex-ETHEREAL
TIGER,TYLOO,22,19,16,14,0,0,TIGER
Renegades,AVANT,16,7,12,16,19,17,Renegades
Mythic,Yeah,4,16,16,13,6,16,Yeah
fightclub,AURA,16,11,7,16,16,5,fightclub
AVEZ,HONORIS,13,16,5,16,0,0,HONORIS
Rebirth,Triumph,16,10,22,20,0,0,Rebirth
Lilmix,flowskola,16,14,13,16,16,10,Lilmix
Izako Boars,Wisla Krakow,16,9,16,11,0,0,Izako Boars
OG,BIG,16,10,19,17,0,0,OG
Gambit,Astralis,9,16,12,16,0,0,Astralis
FURIA,Complexity,16,8,16,6,0,0,FURIA
MAD Lions,MIBR,3,16,13,16,0,0,MIBR
Heroic,GODSENT,10,16,16,14,10,16,GODSENT
Winstrike,HellRaisers,16,14,12,16,10,16,HellRaisers
mousesports,Cloud9,16,12,16,12,0,0,mousesports
TYLOO,Invictus,19,17,16,11,0,0,TYLOO
Chiefs,AVANT,16,12,12,16,8,16,AVANT
New England Whalers,Yeah,2,16,19,16,9,16,Yeah
Rugratz,Triumph,16,7,17,19,13,16,Triumph
fnatic,MIBR,25,21,16,4,0,0,fnatic
North,GODSENT,16,14,9,16,13,16,GODSENT
KOVA,x6tence,16,12,6,16,8,16,x6tence
Astralis,G2,16,13,19,16,0,0,Astralis
Virtus.pro,BIG,16,9,6,16,16,11,Virtus.pro
Lyngby Vikings,x6tence,12,16,16,12,12,16,x6tence
FaZe,Complexity,4,16,22,19,7,16,Complexity
Copenhagen Flames,Espada,11,16,16,13,12,16,Espada
Cloud9,Spirit,16,14,16,4,0,0,Cloud9
Izako Boars,KOVA,16,11,16,7,0,0,Izako Boars
x6tence,KOVA,16,13,17,19,10,16,KOVA
Izako Boars,Lyngby Vikings,16,3,7,16,22,20,Izako Boars
TIGER,ViCi,16,7,7,16,8,16,ViCi
Renegades,ORDER,16,4,13,16,6,16,ORDER
SKDC,ex-Thunder Logic,16,10,16,6,0,0,SKDC
TeamOne,Mythic,14,16,16,12,16,12,TeamOne
Chaos,Rebirth,16,10,19,16,0,0,Chaos
flowskola,Prima,16,5,16,12,0,0,flowskola
Dignitas,OG,14,16,5,16,0,0,OG
FURIA,G2,16,8,13,16,16,6,FURIA
Nexus,Apeks,16,3,7,16,15,19,Apeks
mousesports,GODSENT,13,16,16,9,16,8,mousesports
MAD Lions,Envy,16,11,16,7,0,0,MAD Lions
TheDice,Apeks,19,15,14,16,12,16,Apeks
North,Nemiga,16,2,11,16,16,9,North
Liquid,Astralis,14,16,7,16,0,0,Astralis
